security_id,symbol,yahoo_symbol,market,exchange,country,currency,is_active
IN0038,CIPLA,CIPLA.NS,IN_EQUITY,NSE,IN,INR,True
IN0039,BRITANNIA,BRITANNIA.NS,IN_EQUITY,NSE,IN,INR,True
IN0040,EICHERMOT,EICHERMOT.NS,IN_EQUITY,NSE,IN,INR,True
IN0041,HEROMOTOCO,HEROMOTOCO.NS,IN_EQUITY,NSE,IN,INR,True
IN0042,APOLLOHOSP,APOLLOHOSP.NS,IN_EQUITY,NSE,IN,INR,True
IN0043,UPL,UPL.NS,IN_EQUITY,NSE,IN,INR,True
IN0044,DIVISLAB,DIVISLAB.NS,IN_EQUITY,NSE,IN,INR,True
IN0045,SBILIFE,SBILIFE.NS,IN_EQUITY,NSE,IN,INR,True
IN0046,HDFCLIFE,HDFCLIFE.NS,IN_EQUITY,NSE,IN,INR,True
IN0047,BPCL,BPCL.NS,IN_EQUITY,NSE,IN,INR,True
IN0048,SHRIRAMFIN,SHRIRAMFIN.NS,IN_EQUITY,NSE,IN,INR,True
IN0049,LTIM,LTIM.NS,IN_EQUITY,NSE,IN,INR,True
IN0050,PIDILITIND,PIDILITIND.NS,IN_EQUITY,NSE,IN,INR,True
